hash_algorithm,key_size,message_size,sign_delay_ms,sign_std,verify_delay_ms,verify_std,transmission_delay_ms,transmission_std,sign_ci95,verify_ci95,transmission_ci95
RIPEMD256,256,50,0.2884830115363001,0.12461072204414644,0.8501820010133088,0.3135260845908227,1.039351006038487,0.3512177231716327,0.0244237015206527,0.06145111257980125,0.06883867374164002
RIPEMD256,256,100,0.323682997841388,0.10767269460392033,1.0052649839781225,0.3523294698588007,1.2166980095207691,0.3856936943460798,0.021103848142368382,0.06905657609232493,0.07559596409183164
RIPEMD256,256,150,0.28219500323757524,0.12304107186536944,1.0337039921432734,0.43946081556887123,1.223838988225907,0.487058857802751,0.024116050085612413,0.08613431985149876,0.0954635361293392
RIPEMD256,256,200,0.2961370139382779,0.11592735181515389,1.2383580021560192,0.46061144556322664,1.4380830060690641,0.4917823266759667,0.02272176095577016,0.09027984333039242,0.09638933602848948
RIPEMD256,256,250,0.30267699388787145,0.13469580270336484,1.3259740127250552,0.5631188492201794,1.531982000451535,0.6017475563974366,0.02640037732985951,0.11037129444715517,0.11794252105389758
RIPEMD256,512,50,1.082042008638382,0.45597415268135066,2.500733998604119,1.1536797873618154,2.6803949917666614,1.196986790230153,0.08937093392554472,0.2261212383229158,0.23460941088510995
RIPEMD256,512,100,1.083462992683053,0.44686421282112676,2.597560998983681,1.0901126990965266,2.781595003325492,1.1220174128002844,0.08758538571294085,0.21366208902291922,0.21991541290885577
RIPEMD256,512,150,1.0939259943552315,0.4749592485374987,2.548164997715503,1.1204023064227975,2.7248550159856677,1.1622056521455033,0.09309201271334974,0.2195988520588683,0.22779230782051862
RIPEMD256,512,200,1.0677259997464716,0.43456579497164327,2.844629001338035,1.1822163694614667,3.0251800175756216,1.2188639272885493,0.08517489581444207,0.2317144084144475,0.23889732974855565
RIPEMD256,512,250,1.13772600190714,0.47387673032694183,2.8644859977066517,1.1973603937601014,3.0471809883601964,1.2386976292649248,0.0928798391440806,0.23468263717697985,0.24278473533592523
RIPEMD256,1024,50,5.289797983132303,1.9513501705707819,11.484848002437502,4.376865513946601,11.670205006375909,4.420179431979586,0.3824646334318732,0.8578656407335338,0.8663551686679989
RIPEMD256,1024,100,5.609903982840478,2.096409545511598,12.649199003353715,4.381507385575137,12.857328010722995,4.4231082442976595,0.4108962709202732,0.858775447572727,0.8669292158823412
RIPEMD256,1024,150,5.335799008607864,2.1773749101750712,11.746451994404197,4.214016994267662,11.940325004979968,4.268221940539949,0.426765482394314,0.8259473308764618,0.8365715003458298
RIPEMD256,1024,200,5.631819986738265,2.073395823894835,12.20179699594155,3.8204530761934694,12.408155992161483,3.8587350940859593,0.4063855814833877,0.7488088029339199,0.756312078440848
RIPEMD256,1024,250,5.583398002199829,2.185581472916937,12.515332999173552,4.3577567663586745,12.715175985358655,4.399475940404147,0.4283739686917197,0.8541203262063002,0.8622972843192128
RIPEMD256,2048,50,33.920263005420566,9.441596281105626,71.70975798973814,16.63349799028463,71.92435301840305,16.64684314437361,1.8505528710967027,3.260165606095788,3.2627812562972274
RIPEMD256,2048,100,34.92825102061033,10.51143782972409,72.00707401148975,15.549641395346454,72.23173398990184,15.565170547763236,2.0602418146259214,3.0477297134879047,3.050773427361594
RIPEMD256,2048,150,35.908495008479804,10.19667196295288,76.0398349747993,17.675810253183595,76.27934901975095,17.690921961424714,1.9985477047387643,3.4644588096239843,3.467420704439244
RIPEMD256,2048,200,34.803324008826166,10.581238435339737,74.72437100252137,19.135337788925412,74.95127498405054,19.161581027086154,2.0739227333265884,3.750526206629381,3.7556698813088856
RIPEMD256,2048,250,25.736367993522435,9.675230046149043,53.147097991313785,16.401316439415073,53.4218230121769,16.36915128658984,1.8963450890452123,3.2146580221253545,3.2083536521716085
SHA256,256,50,0.1324920041952282,0.014157235037182999,0.3340420068707317,0.050188437172484744,0.5068139918148518,0.09292085367756289,0.0027748180672878676,0.009836933685807011,0.018212487320802325
SHA256,256,100,0.12964600115083155,0.011556570661748434,0.3314019984100014,0.02367722107019984,0.4990349942818284,0.06673804997264988,0.002265087849702693,0.004640735329759169,0.013080657794639378
SHA256,256,150,0.13056900468654928,0.013016725422351362,0.3301289980299771,0.021384576662117388,0.5013830016832799,0.06904758418330323,0.002551278182780867,0.0041913770257750085,0.013533326499927435
SHA256,256,200,0.13034600066021082,0.01625531777246789,0.3354670014232397,0.045012905075415395,0.5113070004153997,0.0768865723908523,0.003186042283403706,0.008822529394781417,0.015069768188607049
SHA256,256,250,0.13294100179336962,0.022964173608638897,0.33890899969264865,0.05228149473639289,0.48592300270684063,0.09216983559953312,0.004500978027293224,0.010247172968333006,0.018065287777508494
SHA256,512,50,1.2550049996934831,0.505489685115401,2.6658179936930537,0.9318517456948947,3.197525003924966,2.9593716645801025,0.0990759782826186,0.18264294215619936,0.5800368462577
SHA256,512,100,1.146601001964882,0.4931721831754031,2.7857910038437694,1.0948860541804541,3.0200209957547486,1.1480970434711595,0.09666174790237901,0.21459766661936902,0.22502702052034723
SHA256,512,150,1.1588780104648322,0.4361947484633188,2.710300999460742,1.0074456630153679,2.9096700076479465,1.055994719881927,0.08549417069881048,0.1974593499510121,0.2069749650968577
SHA256,512,200,1.1413659935351461,0.43476904467440575,2.6709849992766976,1.047968961115624,2.872912004822865,1.1003353928403057,0.08521473275618352,0.2054019163786623,0.21566573699669994
SHA256,512,250,1.0993729997426271,0.39994801327547674,2.6278730062767863,0.9863132720323843,2.9621769988443702,1.9054834724485046,0.07838981060199343,0.19331740131834732,0.37347476059990686
